x,y,z,vx,vy,vz
1.888293702086764,0.0,3.016335971509143,0.0,0.0,0.0
1.7900523292247779,0.0,3.035027876639248,0.9842255045789827,0.0,0.17691850139611343
1.69162606506278,0.0,3.0527203943321393,0.9859726889279645,0.0,0.16690673050587196
1.5930250758733646,0.0,3.069411697159344,0.9876180339232853,0.0,0.15687772011826356
1.4942595459761607,0.0,3.085100061106077,0.9891613696201996,0.0,0.14683250611186469
1.3953396766859127,0.0,3.09978386574932,0.9906025366103351,0.0,0.13677212603878455
1.2962756852588042,0.0,3.1134615944251784,0.9919413860381282,0.0,0.12669761901771212
1.1970778038371364,0.0,3.1261318343855495,0.9931777796162227,0.0,0.11661002562639884
1.0977562783924684,0.0,3.1377932769440324,0.9943115896397348,0.0,0.10651038779435223
0.9983213676673288,0.0,3.148444717611106,0.9953426989994606,0.0,0.09639974869505226
0.8987833421156094,0.0,3.1580850562185354,0.9962710011939603,0.0,0.08627915263830531
0.799152482841747,0.0,3.1667132970330054,0.9970964003405609,0.0,0.07614964496237403
0.699439080538808,0.0,3.1743285488589734,0.9978188111852653,0.0,0.06601227192593885
0.5996534344255804,0.0,3.1809300251307095,0.9984381591115469,0.0,0.05586808060015668
0.49980585118278537,0.0,3.1865170439935535,0.99895438014807,0.0,0.04571811876034481
0.39990664388852015,0.0,3.1910890283743285,0.9993674209752865,0.0,0.03556343477793221
0.2999661309530371,0.0,3.194645506040956,0.9996772389309517,0.0,0.02540507751196413
0.1999946350529748,0.0,3.1971861096512217,0.9998838020145203,0.0,0.015244096201070463
0.10000248206514697,0.0,3.198710576790731,0.9999870888904632,0.0,0.005081540354743753
0.0,0.0,3.19921875,0.0,0.0,0.0
