x,y,z
-0.0,-0.0,1.2
-1.624108115156441,0.39573917889061205,0.16662130934960429
-1.6247794907708286,0.39589151966705394,0.16616830717990397
-1.6247799019714986,0.3958927970192887,0.16626478661668245
-1.6248102742679198,0.3960118832203809,0.16625974533064128
-1.6248080447487971,0.39606686976169075,0.16619422109017176
-1.625029559623596,0.3912985525210597,0.16780440912926892
-1.6187223319683617,0.3867427703174027,0.18927796643539946
-1.6116246372882355,0.3852602973452186,0.23074067297179726
-1.604077856079969,0.38350467910174385,0.28160554665296256
-1.595121620472689,0.38332521779030854,0.36537976800598515
-1.5900657010386225,0.38388846570694624,0.42593719176378897
-1.584886953931127,0.38411018970972305,0.49511348471908323
-1.580326460264719,0.383985377909355,0.5650941875320277
-1.5761718204945694,0.384166090004627,0.6305204085909996
-1.5715587636209938,0.38388649948203557,0.7065657449327196
-1.5682365724352576,0.38330948950948834,0.7770572275719994
-1.5658839642974158,0.3824358267976709,0.8453764130904861
-1.5648064300411526,0.3813760882245314,0.9079193527360225
-1.5644841795551772,0.3800115958879573,0.9758107160650475
-1.5652233855078546,0.3786997383338825,1.042543863645917
-1.5662203470394014,0.37721295649659603,1.1049838793752238
-1.5685341301747864,0.37555718302855695,1.1621954747581373
-1.5694697783172162,0.3741645337368097,1.2272687399453144
-1.569044337858534,0.3732439477479668,1.2880850747415
-1.5662572758859332,0.372735354835387,1.3476557678170518
-1.5620308021446112,0.37263884621009224,1.4062834254609347
-1.5550112013321848,0.37325212068147995,1.4703723229346757
-1.5460609675076085,0.37369680330859273,1.5343758619617376
-1.5370250524243338,0.3745709025601962,1.5929078800953769
-1.525293645778164,0.3741571709664215,1.6559808273295977
-1.5105522075893487,0.3684470371135192,1.7226210938309015
-1.4967033052233782,0.35476194112198556,1.776297673918724
-1.4787446201882604,0.3223849371501368,1.834560443713772
-1.4617428374050245,0.27425197142213587,1.8685372853545312
-1.4481336126195843,0.2205184690516304,1.8999731706943965
-1.4359877107386902,0.1631132367055107,1.9368932822315148
-1.424397338866113,0.10270802225015023,1.9785879689958588
-1.4142079821425033,0.04940873180854281,2.0218709075302446
-1.4040705818864034,0.004300342929023813,2.069311088163084
-1.3904156774323846,-0.033325719134852085,2.107364600769661
-1.3658095869015463,-0.06005627087248217,2.095327639828007
